Namespace(test_fraction=0.05, epochs=200, factorization_weight=0.99, regression_weight=0.01, shared_embeddings=True, logdir='run/shared=True_LF=0.99_LR=0.01')
training/Factorization Loss : 0.4622338902886196 , epoch 0
training/Joint Loss : 0.16725978655840762 , epoch 17
eval/Mean Reciprocal Rank : 0.08287069749120338 , epoch 17
eval/MSE : 0.8345189690589905 , epoch 17
training/Factorization Loss : 0.15814256091271678 , epoch 18
training/MSE : 0.7689192960018753 , epoch 18
training/Joint Loss : 0.16425032969764483 , epoch 18
eval/Mean Reciprocal Rank : 0.08545402126669487 , epoch 18
eval/MSE : 0.8317611217498779 , epoch 18
training/Factorization Loss : 0.15650024648971095 , epoch 19
training/MSE : 0.7618806376572578 , epoch 19
training/Joint Loss : 0.1625540518171845 , epoch 19
eval/Mean Reciprocal Rank : 0.0874475504254066 , epoch 19
eval/MSE : 0.8317176699638367 , epoch 19
training/Factorization Loss : 0.1540695179093589 , epoch 20
training/MSE : 0.7595176310628973 , epoch 20
training/Joint Loss : 0.16012400040222752 , epoch 20
eval/Mean Reciprocal Rank : 0.08980657659920725 , epoch 20
eval/MSE : 0.8448837995529175 , epoch 20
training/Factorization Loss : 0.1541950130855204 , epoch 21
training/MSE : 0.7539593976351523 , epoch 21
training/Joint Loss : 0.1601926582234521 , epoch 21
eval/Mean Reciprocal Rank : 0.09224075139290011 , epoch 21
eval/MSE : 0.8359445333480835 , epoch 21
training/Factorization Loss : 0.15108865813943007 , epoch 22
training/MSE : 0.749852896537832 , epoch 22
training/Joint Loss : 0.15707630189436098 , epoch 22
eval/Mean Reciprocal Rank : 0.09101627641951328 , epoch 22
eval/MSE : 0.834618330001831 , epoch 22
training/Factorization Loss : 0.14956741067030097 , epoch 23
training/MSE : 0.7477866135617738 , epoch 23
training/Joint Loss : 0.15554960394498482 , epoch 23
eval/Mean Reciprocal Rank : 0.09165214060551659 , epoch 23
eval/MSE : 0.8370654582977295 , epoch 23
training/Factorization Loss : 0.1486705848246172 , epoch 24
training/MSE : 0.7434104463105561 , epoch 24
training/Joint Loss : 0.1546179848292502 , epoch 24
eval/Mean Reciprocal Rank : 0.091850899123543 , epoch 24
eval/MSE : 0.8366422653198242 , epoch 24
training/Factorization Loss : 0.14998198975558563 , epoch 25
training/MSE : 0.7409394298509885 , epoch 25
training/Joint Loss : 0.15589156524548609 , epoch 25
eval/Mean Reciprocal Rank : 0.09411414740198482 , epoch 25
eval/MSE : 0.8404049873352051 , epoch 25
training/Factorization Loss : 0.1478740903799252 , epoch 26
training/MSE : 0.7397557163751254 , epoch 26
training/Joint Loss : 0.1537929079745726 , epoch 26
eval/Mean Reciprocal Rank : 0.09418033704508333 , epoch 26
eval/MSE : 0.840706467628479 , epoch 26
training/Factorization Loss : 0.14721233487850235 , epoch 27
training/MSE : 0.7367296143565126 , epoch 27
training/Joint Loss : 0.15310750873659246 , epoch 27
eval/Mean Reciprocal Rank : 0.09548427545287216 , epoch 27
eval/MSE : 0.8426918983459473 , epoch 27
training/Factorization Loss : 0.14476056300824688 , epoch 28
training/MSE : 0.733718474706014 , epoch 28
training/Joint Loss : 0.15065014366340893 , epoch 28
eval/Mean Reciprocal Rank : 0.09441808131571516 , epoch 28
eval/MSE : 0.8518615365028381 , epoch 28
training/Factorization Loss : 0.1450420724207996 , epoch 29
training/MSE : 0.731241819038186 , epoch 29
training/Joint Loss : 0.15090407098653497 , epoch 29
eval/Mean Reciprocal Rank : 0.09402323791380268 , epoch 29
eval/MSE : 0.8419240117073059 , epoch 29
training/Factorization Loss : 0.14317589241170114 , epoch 30
training/MSE : 0.7275523322243844 , epoch 30
training/Joint Loss : 0.14901965768426978 , epoch 30
eval/Mean Reciprocal Rank : 0.09380929526106657 , epoch 30
eval/MSE : 0.8412425518035889 , epoch 30
training/Factorization Loss : 0.14280393889914916 , epoch 31
training/MSE : 0.726743666875747 , epoch 31
training/Joint Loss : 0.14864333731032187 , epoch 31
eval/Mean Reciprocal Rank : 0.09367596742723171 , epoch 31
eval/MSE : 0.8426505923271179 , epoch 31
training/Factorization Loss : 0.14272520905460723 , epoch 32
training/MSE : 0.7232434348233284 , epoch 32
training/Joint Loss : 0.1485303926371759 , epoch 32
eval/Mean Reciprocal Rank : 0.09513651497351419 , epoch 32
eval/MSE : 0.8400498032569885 , epoch 32
training/Factorization Loss : 0.14157409767710394 , epoch 33
training/MSE : 0.7226466236896413 , epoch 33
training/Joint Loss : 0.14738482387075502 , epoch 33
eval/Mean Reciprocal Rank : 0.09618866188594238 , epoch 33
eval/MSE : 0.8422120213508606 , epoch 33
training/Factorization Loss : 0.14088739546877083 , epoch 34
training/MSE : 0.722132555739854 , epoch 34
training/Joint Loss : 0.14669984787382107 , epoch 34
eval/Mean Reciprocal Rank : 0.09806123119527656 , epoch 34
eval/MSE : 0.8441392779350281 , epoch 34
training/Factorization Loss : 0.14114772179915058 , epoch 35
training/MSE : 0.7175963926379398 , epoch 35
training/Joint Loss : 0.1469122101702998 , epoch 35
eval/Mean Reciprocal Rank : 0.09772278085253279 , epoch 35
eval/MSE : 0.8415461778640747 , epoch 35
training/Factorization Loss : 0.14074253859699412 , epoch 36
training/MSE : 0.7148285400002233 , epoch 36
training/Joint Loss : 0.1464833994946813 , epoch 36
eval/Mean Reciprocal Rank : 0.09631101945054506 , epoch 36
eval/MSE : 0.8430609107017517 , epoch 36
training/Factorization Loss : 0.14098160431510018 , epoch 37
training/MSE : 0.7118948984851119 , epoch 37
training/Joint Loss : 0.1466907381170219 , epoch 37
eval/Mean Reciprocal Rank : 0.09632637197136053 , epoch 37
eval/MSE : 0.8400065302848816 , epoch 37
training/Factorization Loss : 0.1399573380382912 , epoch 38
training/MSE : 0.7103115143955395 , epoch 38
training/Joint Loss : 0.145660880567526 , epoch 38
eval/Mean Reciprocal Rank : 0.09577574416350924 , epoch 38
eval/MSE : 0.8412228226661682 , epoch 38
training/Factorization Loss : 0.13812509082978772 , epoch 39
training/MSE : 0.7100840560210648 , epoch 39
training/Joint Loss : 0.14384468178194698 , epoch 39
eval/Mean Reciprocal Rank : 0.09751498020592587 , epoch 39
eval/MSE : 0.8427703976631165 , epoch 39
training/Factorization Loss : 0.1385102565250089 , epoch 40
training/MSE : 0.7065158744332611 , epoch 40
training/Joint Loss : 0.1441903141357245 , epoch 40
eval/Mean Reciprocal Rank : 0.0996781610403093 , epoch 40
eval/MSE : 0.8382155299186707 , epoch 40
training/Factorization Loss : 0.13665963891613228 , epoch 41
training/MSE : 0.7027097986910933 , epoch 41
training/Joint Loss : 0.1423201412763647 , epoch 41
eval/Mean Reciprocal Rank : 0.09762479337921681 , epoch 41
eval/MSE : 0.8317921161651611 , epoch 41
training/Factorization Loss : 0.13656633305213145 , epoch 42
training/MSE : 0.6999972376131243 , epoch 42
training/Joint Loss : 0.1422006430565029 , epoch 42
eval/Mean Reciprocal Rank : 0.09721906626210397 , epoch 42
eval/MSE : 0.8320388793945312 , epoch 42
training/Factorization Loss : 0.13706683051041377 , epoch 43
training/MSE : 0.6974368281261896 , epoch 43
training/Joint Loss : 0.14267053166704793 , epoch 43
eval/Mean Reciprocal Rank : 0.09675527879999304 , epoch 43
eval/MSE : 0.8317165970802307 , epoch 43
training/Factorization Loss : 0.1364285522290776 , epoch 44
training/MSE : 0.6947578180541274 , epoch 44
training/Joint Loss : 0.1420118460251439 , epoch 44
eval/Mean Reciprocal Rank : 0.0972654694406396 , epoch 44
eval/MSE : 0.8344395756721497 , epoch 44
training/Factorization Loss : 0.1356333109640306 , epoch 45
training/MSE : 0.693281915799905 , epoch 45
training/Joint Loss : 0.1412097982140959 , epoch 45
eval/Mean Reciprocal Rank : 0.09887228934417737 , epoch 45
eval/MSE : 0.8390242457389832 , epoch 45
training/Factorization Loss : 0.13527808326386637 , epoch 46
training/MSE : 0.6904190533584164 , epoch 46
training/Joint Loss : 0.14082949418294174 , epoch 46
eval/Mean Reciprocal Rank : 0.0982444006400573 , epoch 46
eval/MSE : 0.8384018540382385 , epoch 46
training/Factorization Loss : 0.13612502270568444 , epoch 47
training/MSE : 0.6880087830046172 , epoch 47
training/Joint Loss : 0.14164386132872234 , epoch 47
eval/Mean Reciprocal Rank : 0.09740030452847323 , epoch 47
eval/MSE : 0.83614182472229 , epoch 47
training/Factorization Loss : 0.13382215399335148 , epoch 48
training/MSE : 0.6853306354374014 , epoch 48
training/Joint Loss : 0.1393372397268972 , epoch 48
eval/Mean Reciprocal Rank : 0.09945021794875629 , epoch 48
eval/MSE : 0.8398902416229248 , epoch 48
training/Factorization Loss : 0.13438882464442842 , epoch 49
training/MSE : 0.6817465334009098 , epoch 49
training/Joint Loss : 0.13986240281292828 , epoch 49
eval/Mean Reciprocal Rank : 0.10020383971096669 , epoch 49
eval/MSE : 0.8395267724990845 , epoch 49
training/Factorization Loss : 0.13296591109966718 , epoch 50
training/MSE : 0.6796871721744537 , epoch 50
training/Joint Loss : 0.13843312505031785 , epoch 50
eval/Mean Reciprocal Rank : 0.10112308306684183 , epoch 50
eval/MSE : 0.844062089920044 , epoch 50
training/Factorization Loss : 0.13252811828848496 , epoch 51
training/MSE : 0.6790240995025122 , epoch 51
training/Joint Loss : 0.13799307913950054 , epoch 51
eval/Mean Reciprocal Rank : 0.09969414507963181 , epoch 51
eval/MSE : 0.8389442563056946 , epoch 51
training/Factorization Loss : 0.13237778355758037 , epoch 52
training/MSE : 0.6774243059498007 , epoch 52
training/Joint Loss : 0.1378282495644144 , epoch 52
eval/Mean Reciprocal Rank : 0.10104522113470242 , epoch 52
eval/MSE : 0.8418816328048706 , epoch 52
training/Factorization Loss : 0.1326389499140092 , epoch 53
training/MSE : 0.6740252965240068 , epoch 53
training/Joint Loss : 0.1380528145099199 , epoch 53
eval/Mean Reciprocal Rank : 0.1018673839544129 , epoch 53
eval/MSE : 0.8436455130577087 , epoch 53
training/Factorization Loss : 0.13088700231364978 , epoch 54
training/MSE : 0.6713256819914746 , epoch 54
training/Joint Loss : 0.1362913905652941 , epoch 54
eval/Mean Reciprocal Rank : 0.10474885079333944 , epoch 54
eval/MSE : 0.839118242263794 , epoch 54
training/Factorization Loss : 0.1304145570724241 , epoch 55
training/MSE : 0.6716596690877792 , epoch 55
training/Joint Loss : 0.1358270092957443 , epoch 55
eval/Mean Reciprocal Rank : 0.10495447098324326 , epoch 55
eval/MSE : 0.8386237025260925 , epoch 55
training/Factorization Loss : 0.12864546281515912 , epoch 56
training/MSE : 0.6684212876904395 , epoch 56
training/Joint Loss : 0.13404322217308706 , epoch 56
eval/Mean Reciprocal Rank : 0.104893764556868 , epoch 56
eval/MSE : 0.8407193422317505 , epoch 56
training/Factorization Loss : 0.13077936477718816 , epoch 57
training/MSE : 0.6648317143641492 , epoch 57
training/Joint Loss : 0.13611988905536873 , epoch 57
eval/Mean Reciprocal Rank : 0.1047317027485871 , epoch 57
eval/MSE : 0.8371667265892029 , epoch 57
training/Factorization Loss : 0.12883018455918757 , epoch 58
training/MSE : 0.6646950631051936 , epoch 58
training/Joint Loss : 0.13418883437751442 , epoch 58
eval/Mean Reciprocal Rank : 0.10298642730762761 , epoch 58
eval/MSE : 0.8460391759872437 , epoch 58
training/Factorization Loss : 0.13001275695459816 , epoch 59
training/MSE : 0.6616103164451097 , epoch 59
training/Joint Loss : 0.1353287339330681 , epoch 59
eval/Mean Reciprocal Rank : 0.10376335882504945 , epoch 59
eval/MSE : 0.8423571586608887 , epoch 59
training/Factorization Loss : 0.12798734355757954 , epoch 60
training/MSE : 0.660132885700272 , epoch 60
training/Joint Loss : 0.13330879955682703 , epoch 60
eval/Mean Reciprocal Rank : 0.10634240799041217 , epoch 60
eval/MSE : 0.8445980548858643 , epoch 60
training/Factorization Loss : 0.12881540418953025 , epoch 61
training/MSE : 0.6581678812702497 , epoch 61
training/Joint Loss : 0.134108930005021 , epoch 61
eval/Mean Reciprocal Rank : 0.10632108504633611 , epoch 61
eval/MSE : 0.848520815372467 , epoch 61
training/Factorization Loss : 0.12676741609409933 , epoch 62
training/MSE : 0.6558738804312163 , epoch 62
training/Joint Loss : 0.1320584815756608 , epoch 62
eval/Mean Reciprocal Rank : 0.10618978029019994 , epoch 62
eval/MSE : 0.8511982560157776 , epoch 62
training/Factorization Loss : 0.12662700936198235 , epoch 63
training/MSE : 0.655473510103841 , epoch 63
training/Joint Loss : 0.13191547533196787 , epoch 63
eval/Mean Reciprocal Rank : 0.10681742899168532 , epoch 63
eval/MSE : 0.8494958877563477 , epoch 63
training/Factorization Loss : 0.1281175452374643 , epoch 64
training/MSE : 0.6529730868435675 , epoch 64
training/Joint Loss : 0.13336610147148692 , epoch 64
eval/Mean Reciprocal Rank : 0.10689778325115361 , epoch 64
eval/MSE : 0.8479313254356384 , epoch 64
training/Factorization Loss : 0.12609749976345289 , epoch 65
training/MSE : 0.6516450649948531 , epoch 65
training/Joint Loss : 0.131352976725627 , epoch 65
eval/Mean Reciprocal Rank : 0.10682199032469657 , epoch 65
eval/MSE : 0.845640242099762 , epoch 65
training/Factorization Loss : 0.12675384075571133 , epoch 66
training/MSE : 0.6483274196745247 , epoch 66
training/Joint Loss : 0.1319695775627449 , epoch 66
eval/Mean Reciprocal Rank : 0.10822513839899459 , epoch 66
eval/MSE : 0.8484105467796326 , epoch 66
training/Factorization Loss : 0.1239604904286323 , epoch 67
training/MSE : 0.6465595850861201 , epoch 67
training/Joint Loss : 0.1291864819984923 , epoch 67
eval/Mean Reciprocal Rank : 0.1070865530728515 , epoch 67
eval/MSE : 0.8610284924507141 , epoch 67
training/Factorization Loss : 0.12557823937987128 , epoch 68
training/MSE : 0.6447894294415751 , epoch 68
training/Joint Loss : 0.13077035233859094 , epoch 68
eval/Mean Reciprocal Rank : 0.10972927856844764 , epoch 68
eval/MSE : 0.8555787205696106 , epoch 68
training/Factorization Loss : 0.12364558072420218 , epoch 69
training/MSE : 0.6429447638251449 , epoch 69
training/Joint Loss : 0.12883857331208645 , epoch 69
eval/Mean Reciprocal Rank : 0.10773894371637806 , epoch 69
eval/MSE : 0.8525185585021973 , epoch 69
training/Factorization Loss : 0.12401989835404581 , epoch 70
training/MSE : 0.6422525019414963 , epoch 70
training/Joint Loss : 0.1292022253156349 , epoch 70
eval/Mean Reciprocal Rank : 0.10844163218880139 , epoch 70
eval/MSE : 0.8542665243148804 , epoch 70
training/Factorization Loss : 0.12405018394272174 , epoch 71
training/MSE : 0.6398861348148315 , epoch 71
training/Joint Loss : 0.1292085440088344 , epoch 71
eval/Mean Reciprocal Rank : 0.10794918836326758 , epoch 71
eval/MSE : 0.8586207032203674 , epoch 71
training/Factorization Loss : 0.12193582711681243 , epoch 72
training/MSE : 0.6393231621352575 , epoch 72
training/Joint Loss : 0.1271097014347712 , epoch 72
eval/Mean Reciprocal Rank : 0.10989133324766627 , epoch 72
eval/MSE : 0.8626025319099426 , epoch 72
training/Factorization Loss : 0.12186500285902331 , epoch 73
training/MSE : 0.6377861392433926 , epoch 73
training/Joint Loss : 0.12702421495510685 , epoch 73
eval/Mean Reciprocal Rank : 0.11006561504349231 , epoch 73
eval/MSE : 0.860678493976593 , epoch 73
training/Factorization Loss : 0.12409954463001541 , epoch 74
training/MSE : 0.6357889040823905 , epoch 74
training/Joint Loss : 0.1292164398317215 , epoch 74
eval/Mean Reciprocal Rank : 0.11025702597336251 , epoch 74
eval/MSE : 0.873112678527832 , epoch 74
training/Factorization Loss : 0.12156646035771856 , epoch 75
training/MSE : 0.6330139374220243 , epoch 75
training/Joint Loss : 0.1266809358231483 , epoch 75
eval/Mean Reciprocal Rank : 0.11189673518104104 , epoch 75
eval/MSE : 0.8675727248191833 , epoch 75
training/Factorization Loss : 0.1210861661902038 , epoch 76
training/MSE : 0.632035377926083 , epoch 76
training/Joint Loss : 0.12619565918000156 , epoch 76
eval/Mean Reciprocal Rank : 0.11158119020100139 , epoch 76
eval/MSE : 0.8688161373138428 , epoch 76
training/Factorization Loss : 0.1198508171865376 , epoch 77
training/MSE : 0.631743580984172 , epoch 77
training/Joint Loss : 0.12496974581592185 , epoch 77
eval/Mean Reciprocal Rank : 0.1109374257240204 , epoch 77
eval/MSE : 0.8672116994857788 , epoch 77
training/Factorization Loss : 0.12110970054142257 , epoch 78
training/MSE : 0.6293285170229532 , epoch 78
training/Joint Loss : 0.12619188956675992 , epoch 78
eval/Mean Reciprocal Rank : 0.11186282854828923 , epoch 78
eval/MSE : 0.8667289018630981 , epoch 78
training/Factorization Loss : 0.12103809201989764 , epoch 79
training/MSE : 0.6274511416753134 , epoch 79
training/Joint Loss : 0.12610222341152288 , epoch 79
eval/Mean Reciprocal Rank : 0.11271125037007222 , epoch 79
eval/MSE : 0.8687028288841248 , epoch 79
training/Factorization Loss : 0.11767676825164466 , epoch 80
training/MSE : 0.6266849018553252 , epoch 80
training/Joint Loss : 0.12276685019574499 , epoch 80
eval/Mean Reciprocal Rank : 0.11174928585172549 , epoch 80
eval/MSE : 0.8692273497581482 , epoch 80
training/Factorization Loss : 0.1201507682882009 , epoch 81
training/MSE : 0.6251210450965871 , epoch 81
training/Joint Loss : 0.12520047155038644 , epoch 81
eval/Mean Reciprocal Rank : 0.11260334286004667 , epoch 81
eval/MSE : 0.8728953003883362 , epoch 81
training/Factorization Loss : 0.11894349397350383 , epoch 82
training/MSE : 0.6234407033971561 , epoch 82
training/Joint Loss : 0.123988467098404 , epoch 82
eval/Mean Reciprocal Rank : 0.11384690042720039 , epoch 82
eval/MSE : 0.8763404488563538 , epoch 82
training/Factorization Loss : 0.11913446859726982 , epoch 83
training/MSE : 0.6219620682219024 , epoch 83
training/Joint Loss : 0.12416274537162114 , epoch 83
eval/Mean Reciprocal Rank : 0.11420087657557856 , epoch 83
eval/MSE : 0.8730644583702087 , epoch 83
training/Factorization Loss : 0.11950362002306808 , epoch 84
training/MSE : 0.6192758069724165 , epoch 84
training/Joint Loss : 0.12450134268491178 , epoch 84
eval/Mean Reciprocal Rank : 0.11574110163576494 , epoch 84
eval/MSE : 0.8695738315582275 , epoch 84
training/Factorization Loss : 0.11742131267824481 , epoch 85
training/MSE : 0.6190377223075078 , epoch 85
training/Joint Loss : 0.12243747713184484 , epoch 85
eval/Mean Reciprocal Rank : 0.11623734107929147 , epoch 85
eval/MSE : 0.8741382956504822 , epoch 85
training/Factorization Loss : 0.11919178759619113 , epoch 86
training/MSE : 0.6172991995849917 , epoch 86
training/Joint Loss : 0.1241728624789625 , epoch 86
eval/Mean Reciprocal Rank : 0.11583025331316307 , epoch 86
eval/MSE : 0.8725406527519226 , epoch 86
training/Factorization Loss : 0.1168953090986257 , epoch 87
training/MSE : 0.6177927639375451 , epoch 87
training/Joint Loss : 0.12190428474337182 , epoch 87
eval/Mean Reciprocal Rank : 0.11651947623939014 , epoch 87
eval/MSE : 0.8699775338172913 , epoch 87
training/Factorization Loss : 0.11638208190279623 , epoch 88
training/MSE : 0.6157946262949257 , epoch 88
training/Joint Loss : 0.1213762082600145 , epoch 88
eval/Mean Reciprocal Rank : 0.1166690723947695 , epoch 88
eval/MSE : 0.8746440410614014 , epoch 88
training/Factorization Loss : 0.11603504696720711 , epoch 89
training/MSE : 0.6132017890772512 , epoch 89
training/Joint Loss : 0.12100671561214552 , epoch 89
eval/Mean Reciprocal Rank : 0.11804111755112134 , epoch 89
eval/MSE : 0.872805655002594 , epoch 89
training/Factorization Loss : 0.11713222963034466 , epoch 90
training/MSE : 0.6117886312065586 , epoch 90
training/Joint Loss : 0.1220787948458105 , epoch 90
eval/Mean Reciprocal Rank : 0.11732624348836555 , epoch 90
eval/MSE : 0.8749337792396545 , epoch 90
training/Factorization Loss : 0.11507497722863831 , epoch 91
training/MSE : 0.6111627254755266 , epoch 91
training/Joint Loss : 0.12003585555019879 , epoch 91
eval/Mean Reciprocal Rank : 0.11796480906830319 , epoch 91
eval/MSE : 0.8795225620269775 , epoch 91
training/Factorization Loss : 0.1161452059644044 , epoch 92
training/MSE : 0.6093141606418035 , epoch 92
training/Joint Loss : 0.12107689641616358 , epoch 92
eval/Mean Reciprocal Rank : 0.11887361225884427 , epoch 92
eval/MSE : 0.8864778280258179 , epoch 92
training/Factorization Loss : 0.11556864511822501 , epoch 93
training/MSE : 0.6085627417090118 , epoch 93
training/Joint Loss : 0.12049858720712764 , epoch 93
eval/Mean Reciprocal Rank : 0.11809669103712626 , epoch 93
eval/MSE : 0.886496901512146 , epoch 93
training/Factorization Loss : 0.11374852071285889 , epoch 94
training/MSE : 0.6083258269454843 , epoch 94
training/Joint Loss : 0.1186942945845345 , epoch 94
eval/Mean Reciprocal Rank : 0.11784680424218329 , epoch 94
eval/MSE : 0.8803722858428955 , epoch 94
training/Factorization Loss : 0.11548622485290291 , epoch 95
training/MSE : 0.607279350200007 , epoch 95
training/Joint Loss : 0.12040415736696412 , epoch 95
eval/Mean Reciprocal Rank : 0.11721738069587725 , epoch 95
eval/MSE : 0.8815968632698059 , epoch 95
training/Factorization Loss : 0.11383379518144554 , epoch 96
training/MSE : 0.6055394249257221 , epoch 96
training/Joint Loss : 0.11875085236244304 , epoch 96
eval/Mean Reciprocal Rank : 0.11706656757249768 , epoch 96
eval/MSE : 0.8843650221824646 , epoch 96
training/Factorization Loss : 0.11485489651120158 , epoch 97
training/MSE : 0.6031905419884189 , epoch 97
training/Joint Loss : 0.11973825357453798 , epoch 97
eval/Mean Reciprocal Rank : 0.11875781501380697 , epoch 97
eval/MSE : 0.8802826404571533 , epoch 97
training/Factorization Loss : 0.11321095773769964 , epoch 98
training/MSE : 0.6025568818853747 , epoch 98
training/Joint Loss : 0.118104417858425 , epoch 98
eval/Mean Reciprocal Rank : 0.12004684639430369 , epoch 98
eval/MSE : 0.8841599822044373 , epoch 98
training/Factorization Loss : 0.11330953350551026 , epoch 99
training/MSE : 0.6001060541759256 , epoch 99
training/Joint Loss : 0.11817749962210655 , epoch 99
eval/Mean Reciprocal Rank : 0.12101110042524757 , epoch 99
eval/MSE : 0.8850952982902527 , epoch 99
training/Factorization Loss : 0.11435567449417806 , epoch 100
training/MSE : 0.5992949878977191 , epoch 100
training/Joint Loss : 0.11920506841633269 , epoch 100
eval/Mean Reciprocal Rank : 0.12075931997111279 , epoch 100
eval/MSE : 0.8832142353057861 , epoch 100
training/Factorization Loss : 0.11472323863336475 , epoch 101
training/MSE : 0.5991785936458136 , epoch 101
training/Joint Loss : 0.11956779326322259 , epoch 101
eval/Mean Reciprocal Rank : 0.12085718482525115 , epoch 101
eval/MSE : 0.8899156451225281 , epoch 101
training/Factorization Loss : 0.11365280378489725 , epoch 102
training/MSE : 0.5989948689777363 , epoch 102
training/Joint Loss : 0.11850622536674622 , epoch 102
eval/Mean Reciprocal Rank : 0.12012376804564139 , epoch 102
eval/MSE : 0.8781796097755432 , epoch 102
training/Factorization Loss : 0.11332760204470926 , epoch 103
training/MSE : 0.5981272990985583 , epoch 103
training/Joint Loss : 0.11817559990431031 , epoch 103
eval/Mean Reciprocal Rank : 0.12062916413290015 , epoch 103
eval/MSE : 0.8911918997764587 , epoch 103
